,Unnamed: 0,id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count
144,144,746032015199185720,Rental unit in Dublin · 1 bedroom · 1 bed · 1 shared bath,438309023,Dublin City,53.35544,-6.23451,Private room,150.0,5,0,1
145,145,859118179782872358,Condo in Dublin · ★4.62 · 1 bedroom · 1 bed · 1.5 baths,507880708,Dublin City,53.34706229381874,-6.274883939321869,Entire home/apt,151.0,1,87,2
146,146,1020224004216020831,Rental unit in Dublin · ★New · 2 bedrooms · 2 beds · 2.5 baths,543949645,Dublin City,53.3486406855109,-6.259838830363896,Entire home/apt,173.0,25,0,1
147,147,925557261382369735,Home in Dublin 8 · ★4.0 · 1 bedroom · 1 bed · 1 shared bath,485531910,Dublin City,53.3417397,-6.273841,Private room,70.0,1,4,1
148,148,888033778374564890,Serviced apartment in Chapelizod · 1 bedroom · 1 bed · 1 bath,11213957,Dublin City,53.3479561,-6.345984,Entire home/apt,189.0,2,1,2
149,149,995471737704126930,Rental unit in Dublin · 1 bedroom · 5 beds · 1 shared bath,512179379,Fingal,53.40150190576409,-6.251269653439522,Shared room,30.0,2,1,14
150,150,1029419474413382252,Rental unit in Dublin · ★New · 1 bedroom · 5 beds · 2 shared baths,543634729,Dublin City,53.39975,-6.25808,Shared room,22.0,7,0,8
151,151,1039758628880730926,Rental unit in Dublin · ★New · 2 bedrooms · 2 beds · 2 baths,356800202,Dn Laoghaire-Rathdown,53.25873696542534,-6.163776491534954,Entire home/apt,85.0,26,0,7
152,152,19783411,Chalet in Dublin · 6 bedrooms · 7 beds · 5 baths,64317688,Dn Laoghaire-Rathdown,53.28443,-6.17856,Entire home/apt,450.0,2,1,1
153,153,936672089273378335,Rental unit in Dublin · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,525980308,Dublin City,53.33565,-6.24678,Private room,120.0,1,3,1
154,154,31605675,Rental unit in Dublin · 3 bedrooms · 3 beds · 2 baths,185902621,Dublin City,53.3354,-6.22371,Entire home/apt,100.0,1,0,9
155,155,1019642945495080412,Rental unit in Dublin 1 · ★5.0 · 1 bedroom · 1 bed · 1 bath,544255041,Dublin City,53.35271488276547,-6.264456063508987,Private room,86.0,3,3,1
156,156,633721648861507017,Home in Dalkey · ★4.78 · 2 bedrooms · 2 beds · 1 bath,148911592,Dn Laoghaire-Rathdown,53.2774,-6.10435,Entire home/apt,200.0,3,9,1
